type,start_seconds,end_seconds
AgentMessage,5.892,12.381
Reasoning,31.081,31.535
AgentMessage,31.54,32.331
Extension,33.54,34.661
AgentMessage,36.535,48.851
AgentMessage,104.185,105.436
CommandExecution,108.702,108.703
Extension,108.73,110.001
CommandExecution,115.872,115.872
Extension,115.863,117.642
AgentMessage,121.845,141.481
AgentMessage,271.155,272.315
Extension,274.531,275.746
Extension,283.861,285.206
Reasoning,287.26,288.83
Extension,291.129,292.115
AgentMessage,297.115,323.571
AgentMessage,487.845,489.075
Extension,491.813,494.235
Extension,497.928,498.801
AgentMessage,500.365,520.231
Reasoning,601.875,602.305
AgentMessage,602.309,605.245
CommandExecution,609.149,609.15
CommandExecution,609.297,609.298
Reasoning,611.12,613.145
CommandExecution,617.374,617.375
Extension,617.396,618.295
Reasoning,621.18,622.661
Extension,630.408,631.356
CommandExecution,629.383,631.724
Reasoning,633.816,635.001
CommandExecution,628.189,637.188
CommandExecution,638.181,638.182
Reasoning,640.575,642.055
AgentMessage,642.058,644.22
CommandExecution,653.042,653.043
CommandExecution,651.982,653.438
Reasoning,654.485,656.442
CommandExecution,650.795,660.771
CommandExecution,680.125,680.126
CommandExecution,680.309,681.921
Reasoning,682.93,685.335
CommandExecution,687.503,687.503
Reasoning,689.353,690.295
CommandExecution,699.447,699.448
Reasoning,701.561,701.717
CommandExecution,712.497,712.497
CommandExecution,711.43,717.266
Reasoning,714.685,726.45
CommandExecution,778.191,778.192
Reasoning,780.665,781.204
AgentMessage,781.215,784.185
CommandExecution,813.958,813.959
CommandExecution,814.154,814.33
Reasoning,818.15,818.596
CommandExecution,823.65,823.65
Extension,823.687,824.525
Reasoning,826.245,827.44
CommandExecution,836.907,837.104
Reasoning,839.942,840.975
CommandExecution,837.289,841.385
CommandExecution,843.791,843.792
Reasoning,846.33,848.835
CommandExecution,855.04,855.04
CommandExecution,853.973,860.465
Reasoning,860.72,861.58
CommandExecution,864.443,864.444
Reasoning,868.3,883.4
CommandExecution,698.379,936.345
CommandExecution,940.102,940.103
Reasoning,941.525,942.11
CommandExecution,951.315,951.553
Reasoning,953.074,953.564
AgentMessage,953.584,958.129
CommandExecution,970.799,970.8
CommandExecution,970.996,971.274
Reasoning,973.654,975.314
CommandExecution,950.12,993.674
CommandExecution,994.246,994.455
CommandExecution,994.517,994.517
CommandExecution,1001.48,1003.89
Reasoning,1006.0,1008.205
CommandExecution,1011.113,1011.429
Reasoning,1012.995,1025.69
CommandExecution,1038.221,1038.222
Reasoning,1040.745,1041.655
CommandExecution,1054.044,1062.007
Reasoning,1056.84,1068.15
AgentMessage,1068.176,1070.4
CommandExecution,1071.574,1071.574
CommandExecution,1002.669,1076.858
Reasoning,1073.645,1093.735
CommandExecution,1111.206,1111.207
CommandExecution,1111.374,1111.375
Reasoning,1112.95,1113.62
Reasoning,1123.425,1132.075
CommandExecution,1158.738,1159.048
Reasoning,1163.836,1164.36
CommandExecution,1166.874,1167.548
Reasoning,1169.35,1172.01
Extension,1175.99,1177.792
CommandExecution,1177.996,1179.56
Reasoning,1182.305,1186.936
CommandExecution,1193.406,1193.768
Extension,1193.803,1194.675
Reasoning,1198.455,1214.166
CommandExecution,1216.149,1216.149
CommandExecution,1120.328,1222.511
Reasoning,1219.385,1222.516
AgentMessage,1222.526,1224.98
CommandExecution,1228.156,1228.156
Reasoning,1232.235,1234.18
CommandExecution,1237.519,1238.327
Reasoning,1245.475,1247.375
CommandExecution,1252.224,1252.478
Reasoning,1254.52,1255.717
CommandExecution,1259.552,1261.453
Reasoning,1263.46,1279.791
CommandExecution,1356.372,1356.373
Reasoning,1359.165,1374.546
CommandExecution,1377.059,1377.06
Reasoning,1380.77,1388.395
CommandExecution,1412.663,1414.946
Reasoning,1418.555,1428.375
CommandExecution,1467.737,1467.737
