start_seconds,end_seconds
0.61,12.469
29.358,49.454
102.041,141.557
267.164,323.67
483.05,520.328
599.959,3041.169
3055.351,3495.461
3532.608,3922.911
3923.242,4051.131
4120.981,4330.548
4576.141,4613.998
6862.395,8604.222
8604.23,9864.81
10730.528,12348.905
12721.334,14428.921
17653.663,18639.065
19800.596,20061.495
20074.331,21078.284
21078.29,25023.605
25023.613,28117.41
28117.418,29888.606
29888.616,32747.427
32747.433,34570.862
34570.868,35725.004
35725.014,36809.126
36809.135,38333.751
38333.789,38723.682
38723.688,39967.003
39967.013,41483.899
41483.908,42754.531
42754.54,43082.118
43082.123,43562.335
43562.34,46024.583
46024.592,46966.97
46966.979,49336.309
49336.318,50783.156
50783.166,53265.919
53265.928,53952.772
53952.781,55572.437
55572.446,57903.067
57903.078,59214.116
59214.125,60574.214
60574.222,61401.157
61401.161,62510.042
62510.05,62987.902
62987.907,63684.951
63684.957,65554.515
65554.524,65809.993
65809.997,67175.561
67175.726,67360.604
67360.61,67462.624
67462.629,67563.392
67563.397,67691.113
67691.118,70722.699
70722.704,72082.124
72082.273,73449.224
73449.229,73731.722
73731.727,74031.416
74031.42,75195.134
75195.139,75291.708
75291.714,75384.164
75384.17,75466.45
75466.455,75553.459
75553.465,75646.393
75646.399,75722.834
75722.841,75819.726
75819.731,75975.617
75975.621,76064.669
76064.673,76138.099
76138.106,76220.523
76220.531,76294.664
76294.668,76398.309
76398.314,76484.344
76484.348,76555.054
76555.058,76645.942
76645.946,76724.27
76724.274,76805.676
76805.682,76876.49
76876.496,76953.981
76953.987,77022.438
77022.443,77112.635
77112.641,77178.175
77178.182,77265.449
77265.455,77348.856
77348.86,77415.484
77415.49,77493.425
77493.43,77566.49
77566.495,77646.926
77646.932,77723.732
77723.738,78074.985
78074.993,78328.883
78328.89,78566.363
78566.368,78655.974
78655.982,78748.214
78748.222,78825.328
78825.337,78905.864
78906.136,78980.101
78980.106,79060.277
79060.284,79139.349
79139.357,79213.199
79213.209,79305.887
79305.896,79381.317
79381.326,79463.506
79463.514,79544.777
79544.784,79635.772
79635.778,79713.734
79713.74,79790.631
79790.639,79896.032
79896.044,79997.807
79997.817,86434.887
86434.897,88236.257
89017.107,93529.891
93805.662,95475.936
95794.535,97765.957
97765.964,97816.288
98016.126,98048.788
98112.986,105221.391
105221.395,126418.266
126991.102,127055.61
127276.891,130270.314
130825.562,143599.779
143601.528,145864.503
145864.716,146590.421
155595.114,159203.193
159203.346,162349.361
162349.37,166236.263
166236.274,169687.553
169687.562,170722.377
170722.388,174446.567
174446.577,174602.795
174602.801,174713.07
174713.077,175018.932
175018.938,175261.597
175261.603,175830.347
175830.352,176057.625
176057.631,176236.037
176236.043,176399.493
176399.498,176592.907
176592.916,176764.396
176764.402,176968.915
176968.921,177152.323
177152.329,177377.974
177377.979,177572.978
177572.983,177741.395
177741.399,177933.635
177933.642,178110.04
178110.045,178299.939
178299.943,178696.198
178696.203,179092.148
179092.156,179592.904
179593.134,179942.763
179942.769,185270.915
185270.927,188567.067
188567.075,191843.624
191843.818,192484.251
192484.444,192687.968
192687.974,192824.097
192824.103,192954.339
192954.35,193036.941
193036.946,193160.771
193160.775,193283.756
193283.761,193383.529
193383.535,193527.863
193527.869,193640.021
193640.029,194425.812
194425.993,194538.803
194538.807,194839.987
194839.992,195692.798
195692.803,196287.451
196287.457,196600.063
196600.069,197086.818
197086.824,197532.88
197532.885,201040.106
205491.712,206181.755
206181.761,210315.81
210315.816,212461.519
212461.529,218656.424
218656.435,223328.796
223328.808,223953.219
223953.225,224485.571
224485.577,224993.522
224993.525,226995.455
226995.464,229950.278
248762.29,249680.82
249680.832,253354.773
253354.782,255614.235
255614.243,258513.766
258513.772,259585.249
259585.258,260367.202
260367.207,265744.719
269552.201,273470.004
275365.479,278168.297
279297.829,281156.713
284738.663,286104.497
